text	label
EVERYDAY YOU SHOVE 'NOT ALL MEN' DOWN THE THROATS OF WOMEN TALKING ABOUT THEIR EXPERIENCES. ARE YOU NOT TIRED? ARE YOU NOT FREAKING TIRED?? 	1
@user Someone Tell this Immigrant Non Citizen who cant vote that Michelle Obama is no longer Flotus and was never her Flotus  then Deport her Racists behind back to the Congo so she can #Resist there !  #Trump #MAGA 	1
@user First of all bitch fuck u, second of all we BOTH hoes 😴 	1
@user I dont think us women will ever be ok with anyone calling us a bitch.. lmao no matter how you mean it 	0
HAHAHAHAHAPLEASEKILLMEHHAHAHAHHAHAHAHAHA 😫 	0
Help Hindu Bengalis in Assam to save them from becoming refugee again 	0
@user sup bitch yo be fuxking care ful i find out ur touching my man. ima find you. be scared whore be fuxking scared. 	1
Two artists from New York are bringing colour into the lives of Rohingya refugees.Their art classes and murals are brightening up the refugee camp in Kutupalong, Bangladesh. The artist had partnered with UNICEF for this project 	0
When someone leaves a dumb comment 	1
U.N. pact offers hope to world's climate migrants #WithRefugees #climatechange @user @user @user @user @user @user 	0
The world divided over trumped up charges and more refugees drowning l blame the refugees who burnt and murdered Christians their religion 	1
It will be such a shame to see @user qualifying for any tournament (including WC) with the help of immigrants. I can't even imagine 11 Africans/Whites representing India and me cheering them on. Both @user brother plays for Guinea national team. Plain crazy! 	1
@user Please don’t stop being kind. There are women out here that know not all men are pervs. 	1
@user As for U.S. immigration, I don't think we need hordes of people coming in not refugees, not smart, not willing to pledge their lives to this nation. They come here with a welcome wagon waiting to get on welfare and public benefits. They want 	0
The difference is any other legal immigrant has already become citizens and are assimilating into society!! Not trying to over throw the current legal system! 	1
That one cock blockin ass bitch you can never get past 	0
This fat bitch be really trying it when it comes to my kids i just wanna drag that fat whore 	1
Our ancestors have thus lived here for millennia, yet, we are being denied our identity by mass immigration and the successive governments that are complicit. We are told that there is no such thing as the British race as we are all mixed between numerous ethnic groups. .... 	0
"After the tournament I saw the Statue of Liberty and did the ""Hard Times"" tour at the @user experiencing the lives of two immigrant familes during the Depression.   Essential reminders of this country's history and what we have fought for: Liberty and Justice for All. "	1
WHY MUSLIMS IMMIGRATE TO CHRISTIAN COUNTRIES via @user 	0
@user Stop lying u skank bitch but white like u 	1
UN says Libya recovered some 100 bodies of migrants in 2018 	0
@user You can blame autocorrect. Jai Shri Ram. 	1
@user STFU!!! Precious, nobody GAF about anything u complaining for god sake, get a life. I sure miss any or all past presidents at leats they knew how to be real men and not complaint all day long like menopausal women #hotflashtrump 	1
@user You mean it's not true? 	0
Enough! White House says US choking on 10.7 million legal immigrants 	0
Coming onto a status about women + sexual assault/harassment to mansplain it and say that 'not all men are abusive' is probs the worst thing 	0
@user @user @user @user @user New blog (previously Man of the Month) 	0
@user I’d love to lick your pussy before and after a Big Black cock has fucked it! I’m in northwest Indiana HMU if you need a cuckold!!! 	1
Migrant Workers Centre is sponsoring a special category of the Overland Literary Journal's Fair Australia prize. The best essay, poem, short story, graphic or cartoon submitted by a migrant worker will receive a cash prize. Head to 	0
@user What's up with college age women and man hating? This shit makes me embarrassed to be a feminist. Not all men are like that. 	1
@user @user is like a hysterical woman trying to out scream @user I became a conservative years ago when the Democrats treated Clarence Thomas in such a despicable manner. Hope the public is watching this repeat. 	0
@user It's alright Julia, we already know how vile you are, no need to ram the point home 	1
We cannot as a city or a country stand proudly and say that we welcome refugees whilst at the same time refusing to act humanely or indeed act at all, in situations such as these. 	0
Trump administration moves to end court settlement on immigrant child detention - CNNPolitics   This action would gut the basic protections and standards in place to protect kids from harm. #ProtectFloresSettlement #BestInterestOfTheChild 	1
